12:10:12: Decomposing movements and ethograms, time elapse: 210.782seconds
12:10:18: Decomposing completed, time elapse: 280.774seconds
12:11:46: Decomposing poses, time elapse: 55.334seconds
12:11:47: Calculating kernel matrix, time elapse: 0.528seconds
12:14:14: Decomposing movements and ethograms, time elapse: 147.287seconds
12:14:18: Decomposing completed, time elapse: 207.485seconds
12:15:46: Decomposing poses, time elapse: 63.631seconds
12:15:46: Calculating kernel matrix, time elapse: 0.682seconds
12:18:58: Decomposing movements and ethograms, time elapse: 191.671seconds
12:19:03: Decomposing completed, time elapse: 260.577seconds
12:20:40: Decomposing poses, time elapse: 67.019seconds
12:20:41: Calculating kernel matrix, time elapse: 1.066seconds
12:25:50: Decomposing movements and ethograms, time elapse: 308.336seconds
12:25:57: Decomposing completed, time elapse: 384.265seconds
12:27:36: Decomposing poses, time elapse: 54.244seconds
12:27:37: Calculating kernel matrix, time elapse: 0.701seconds
12:30:48: Decomposing movements and ethograms, time elapse: 191.475seconds
12:30:55: Decomposing completed, time elapse: 252.509seconds
12:32:32: Decomposing poses, time elapse: 66.152seconds
12:32:33: Calculating kernel matrix, time elapse: 0.908seconds
12:36:45: Decomposing movements and ethograms, time elapse: 251.734seconds
12:36:53: Decomposing completed, time elapse: 326.47seconds
12:38:29: Decomposing poses, time elapse: 58.705seconds
12:38:30: Calculating kernel matrix, time elapse: 0.724seconds
12:41:47: Decomposing movements and ethograms, time elapse: 197.404seconds
12:41:52: Decomposing completed, time elapse: 261.98seconds
12:43:45: Decomposing poses, time elapse: 79.496seconds
12:43:46: Calculating kernel matrix, time elapse: 0.562seconds
12:46:27: Decomposing movements and ethograms, time elapse: 161.502seconds
12:46:32: Decomposing completed, time elapse: 246.227seconds
12:48:01: Decomposing poses, time elapse: 63.352seconds
12:48:02: Calculating kernel matrix, time elapse: 0.763seconds
12:51:41: Decomposing movements and ethograms, time elapse: 219.337seconds
12:51:47: Decomposing completed, time elapse: 288.813seconds
12:53:18: Decomposing poses, time elapse: 59.662seconds
12:53:19: Calculating kernel matrix, time elapse: 0.654seconds
12:56:07: Decomposing movements and ethograms, time elapse: 167.769seconds
12:56:11: Decomposing completed, time elapse: 233.012seconds
12:57:43: Decomposing poses, time elapse: 60.767seconds
12:57:43: Calculating kernel matrix, time elapse: 0.372seconds
12:58:24: Decomposing movements and ethograms, time elapse: 40.461seconds
12:58:28: Decomposing completed, time elapse: 106.36seconds
12:59:49: Decomposing poses, time elapse: 63.347seconds
12:59:50: Calculating kernel matrix, time elapse: 0.786seconds
13:03:38: Decomposing movements and ethograms, time elapse: 228.262seconds
13:03:53: Decomposing completed, time elapse: 307.465seconds
13:05:25: Decomposing poses, time elapse: 58.547seconds
13:05:25: Calculating kernel matrix, time elapse: 0.218seconds
13:05:58: Decomposing movements and ethograms, time elapse: 33.243seconds
13:06:06: Decomposing completed, time elapse: 99.598seconds
15:15:25: Decomposing poses, time elapse: 59.069seconds
15:15:25: Calculating kernel matrix, time elapse: 0.216seconds
15:15:55: Calculating kernel matrix, time elapse: 0.234seconds
16:44:57: Decomposing poses, time elapse: 65.055seconds
16:44:58: Calculating kernel matrix, time elapse: 0.26seconds
16:45:30: Decomposing movements and ethograms, time elapse: 32.594seconds
16:45:40: Decomposing completed, time elapse: 107.294seconds
17:18:49: Decomposing poses, time elapse: 51.862seconds
17:18:50: Calculating kernel matrix, time elapse: 0.654seconds
17:21:46: Decomposing movements and ethograms, time elapse: 175.647seconds
17:21:52: Decomposing completed, time elapse: 234.19seconds
22:48:55: Decomposing poses, time elapse: 69.852seconds
22:48:57: Calculating kernel matrix, time elapse: 2.5seconds
22:59:44: Decomposing movements and ethograms, time elapse: 646.5seconds
22:59:56: Decomposing completed, time elapse: 731.742seconds
23:02:27: Decomposing poses, time elapse: 64.794seconds
23:02:28: Calculating kernel matrix, time elapse: 1.55seconds
23:09:51: Decomposing movements and ethograms, time elapse: 442.24seconds
23:10:04: Decomposing completed, time elapse: 521.748seconds
23:12:10: Decomposing poses, time elapse: 64.978seconds
23:12:11: Calculating kernel matrix, time elapse: 1.402seconds
23:19:02: Decomposing movements and ethograms, time elapse: 411.214seconds
23:19:23: Decomposing completed, time elapse: 498.815seconds
23:21:23: Decomposing poses, time elapse: 63.812seconds
23:21:25: Calculating kernel matrix, time elapse: 1.967seconds
23:31:13: Decomposing movements and ethograms, time elapse: 587.91seconds
23:31:35: Decomposing completed, time elapse: 676.004seconds
23:34:00: Decomposing poses, time elapse: 64.633seconds
23:34:01: Calculating kernel matrix, time elapse: 1.749seconds
23:42:52: Decomposing movements and ethograms, time elapse: 530.64seconds
23:43:04: Decomposing completed, time elapse: 608.776seconds
23:45:18: Decomposing poses, time elapse: 63.924seconds
23:45:20: Calculating kernel matrix, time elapse: 2.292seconds
23:56:41: Decomposing movements and ethograms, time elapse: 680.874seconds
23:56:54: Decomposing completed, time elapse: 760.762seconds
23:59:30: Decomposing poses, time elapse: 63.639seconds
23:59:32: Calculating kernel matrix, time elapse: 1.767seconds
00:08:23: Decomposing movements and ethograms, time elapse: 530.697seconds
00:08:41: Decomposing completed, time elapse: 614.408seconds
00:10:57: Decomposing poses, time elapse: 64.087seconds
00:10:58: Calculating kernel matrix, time elapse: 0.941seconds
00:15:46: Decomposing movements and ethograms, time elapse: 288.837seconds
00:15:54: Decomposing completed, time elapse: 361.855seconds
00:17:38: Decomposing poses, time elapse: 64.819seconds
00:17:40: Calculating kernel matrix, time elapse: 2.309seconds
00:28:50: Decomposing movements and ethograms, time elapse: 669.56seconds
00:29:08: Decomposing completed, time elapse: 754.713seconds
00:31:44: Decomposing poses, time elapse: 63.826seconds
00:31:46: Calculating kernel matrix, time elapse: 1.774seconds
00:40:21: Decomposing movements and ethograms, time elapse: 514.96seconds
00:40:32: Decomposing completed, time elapse: 591.287seconds
00:42:46: Decomposing poses, time elapse: 64.763seconds
00:42:49: Calculating kernel matrix, time elapse: 2.493seconds
00:55:28: Decomposing movements and ethograms, time elapse: 759.532seconds
00:55:47: Decomposing completed, time elapse: 845.153seconds
00:58:31: Decomposing poses, time elapse: 64.21seconds
00:58:33: Calculating kernel matrix, time elapse: 2.162seconds
01:09:04: Decomposing movements and ethograms, time elapse: 631.322seconds
01:09:20: Decomposing completed, time elapse: 713.234seconds
01:11:48: Decomposing poses, time elapse: 64.373seconds
01:11:50: Calculating kernel matrix, time elapse: 2.153seconds
01:15:58: Decomposing movements and ethograms, time elapse: 247.968seconds
01:16:11: Decomposing completed, time elapse: 327.249seconds
01:18:41: Decomposing poses, time elapse: 64.831seconds
01:18:43: Calculating kernel matrix, time elapse: 2.033seconds
01:28:26: Decomposing movements and ethograms, time elapse: 582.776seconds
01:28:38: Decomposing completed, time elapse: 662.027seconds
01:31:01: Decomposing poses, time elapse: 64.404seconds
01:31:02: Calculating kernel matrix, time elapse: 0.935seconds
01:35:35: Decomposing movements and ethograms, time elapse: 273.441seconds
01:35:43: Decomposing completed, time elapse: 346.551seconds
01:37:26: Decomposing poses, time elapse: 65.237seconds
01:37:28: Calculating kernel matrix, time elapse: 1.203seconds
01:43:13: Decomposing movements and ethograms, time elapse: 345.088seconds
01:43:22: Decomposing completed, time elapse: 421.194seconds
17:36:14: Decomposing poses, time elapse: 42.935seconds
17:36:15: Calculating kernel matrix, time elapse: 0.298seconds
17:36:40: Decomposing movements and ethograms, time elapse: 25.146seconds
17:36:47: Decomposing completed, time elapse: 75.886seconds
17:37:35: Decomposing poses, time elapse: 37.507seconds
17:37:35: Calculating kernel matrix, time elapse: 0.198seconds
17:38:43: Decomposing movements and ethograms, time elapse: 68.432seconds
17:38:50: Decomposing completed, time elapse: 112.535seconds
17:39:45: Decomposing poses, time elapse: 42.412seconds
17:39:46: Calculating kernel matrix, time elapse: 0.175seconds
17:40:33: Decomposing movements and ethograms, time elapse: 47.34seconds
17:40:39: Decomposing completed, time elapse: 95.855seconds
17:41:28: Decomposing poses, time elapse: 39.843seconds
17:41:28: Calculating kernel matrix, time elapse: 0.23seconds
17:42:42: Decomposing movements and ethograms, time elapse: 73.93seconds
17:42:49: Decomposing completed, time elapse: 120.645seconds
17:43:41: Decomposing poses, time elapse: 41.139seconds
17:43:41: Calculating kernel matrix, time elapse: 0.238seconds
17:45:05: Decomposing movements and ethograms, time elapse: 83.556seconds
17:45:11: Decomposing completed, time elapse: 131.315seconds
17:45:57: Decomposing poses, time elapse: 34.953seconds
17:45:58: Calculating kernel matrix, time elapse: 0.241seconds
17:47:04: Decomposing movements and ethograms, time elapse: 66.696seconds
17:47:11: Decomposing completed, time elapse: 108.52seconds
17:48:00: Decomposing poses, time elapse: 37.729seconds
17:48:00: Calculating kernel matrix, time elapse: 0.219seconds
17:49:10: Decomposing movements and ethograms, time elapse: 69.644seconds
17:49:16: Decomposing completed, time elapse: 114.104seconds
17:50:05: Decomposing poses, time elapse: 37.758seconds
17:50:05: Calculating kernel matrix, time elapse: 0.145seconds
17:50:50: Decomposing movements and ethograms, time elapse: 44.646seconds
17:50:56: Decomposing completed, time elapse: 88.562seconds
17:51:47: Decomposing poses, time elapse: 43.305seconds
17:51:47: Calculating kernel matrix, time elapse: 0.169seconds
17:52:09: Decomposing movements and ethograms, time elapse: 22.2seconds
17:52:16: Decomposing completed, time elapse: 72.227seconds
17:53:02: Decomposing poses, time elapse: 37.038seconds
17:53:02: Calculating kernel matrix, time elapse: 0.199seconds
17:54:18: Decomposing movements and ethograms, time elapse: 75.871seconds
17:54:24: Decomposing completed, time elapse: 119.477seconds
17:55:07: Decomposing poses, time elapse: 32.927seconds
17:55:07: Calculating kernel matrix, time elapse: 0.247seconds
17:56:35: Decomposing movements and ethograms, time elapse: 87.495seconds
17:56:41: Decomposing completed, time elapse: 126.833seconds
17:57:30: Decomposing poses, time elapse: 36.828seconds
17:57:30: Calculating kernel matrix, time elapse: 0.291seconds
17:58:55: Decomposing movements and ethograms, time elapse: 84.863seconds
17:59:02: Decomposing completed, time elapse: 128.517seconds
17:59:51: Decomposing poses, time elapse: 35.201seconds
17:59:51: Calculating kernel matrix, time elapse: 0.256seconds
18:01:22: Decomposing movements and ethograms, time elapse: 90.724seconds
18:01:28: Decomposing completed, time elapse: 132.439seconds
18:02:16: Decomposing poses, time elapse: 35.824seconds
18:02:16: Calculating kernel matrix, time elapse: 0.272seconds
18:03:51: Decomposing movements and ethograms, time elapse: 94.632seconds
18:03:57: Decomposing completed, time elapse: 137.221seconds
18:04:44: Decomposing poses, time elapse: 33.61seconds
18:04:44: Calculating kernel matrix, time elapse: 0.257seconds
18:05:15: Decomposing movements and ethograms, time elapse: 31.341seconds
18:05:21: Decomposing completed, time elapse: 71.569seconds
18:06:08: Decomposing poses, time elapse: 34.132seconds
18:06:08: Calculating kernel matrix, time elapse: 0.246seconds
18:07:15: Decomposing movements and ethograms, time elapse: 66.549seconds
18:07:21: Decomposing completed, time elapse: 106.971seconds
18:08:05: Decomposing poses, time elapse: 32.142seconds
18:08:05: Calculating kernel matrix, time elapse: 0.27seconds
18:09:15: Decomposing movements and ethograms, time elapse: 70.143seconds
18:09:21: Decomposing completed, time elapse: 108.713seconds
18:10:09: Decomposing poses, time elapse: 35.666seconds
18:10:09: Calculating kernel matrix, time elapse: 0.282seconds
18:10:46: Decomposing movements and ethograms, time elapse: 36.936seconds
18:10:53: Decomposing completed, time elapse: 79.331seconds
18:11:42: Decomposing poses, time elapse: 35.098seconds
18:11:42: Calculating kernel matrix, time elapse: 0.278seconds
18:13:24: Decomposing movements and ethograms, time elapse: 102.04seconds
18:13:30: Decomposing completed, time elapse: 143.745seconds
18:14:18: Decomposing poses, time elapse: 34.839seconds
18:14:19: Calculating kernel matrix, time elapse: 0.245seconds
18:15:44: Decomposing movements and ethograms, time elapse: 85.467seconds
18:15:50: Decomposing completed, time elapse: 126.666seconds
17:45:05: Decomposing poses, time elapse: 39.513seconds
17:45:05: Calculating kernel matrix, time elapse: 0.246seconds
17:46:10: Decomposing movements and ethograms, time elapse: 65.305seconds
17:46:16: Decomposing completed, time elapse: 111.063seconds
17:47:04: Decomposing poses, time elapse: 38.511seconds
17:47:05: Calculating kernel matrix, time elapse: 0.197seconds
17:47:49: Decomposing movements and ethograms, time elapse: 44.031seconds
17:47:54: Decomposing completed, time elapse: 87.726seconds
17:48:43: Decomposing poses, time elapse: 40.549seconds
17:48:44: Calculating kernel matrix, time elapse: 0.189seconds
17:49:35: Decomposing movements and ethograms, time elapse: 51.235seconds
17:49:41: Decomposing completed, time elapse: 98.603seconds
17:50:26: Decomposing poses, time elapse: 35.663seconds
17:50:26: Calculating kernel matrix, time elapse: 0.191seconds
17:51:04: Decomposing movements and ethograms, time elapse: 37.608seconds
17:51:09: Decomposing completed, time elapse: 79.164seconds
17:51:55: Decomposing poses, time elapse: 36.211seconds
17:51:55: Calculating kernel matrix, time elapse: 0.192seconds
17:52:45: Decomposing movements and ethograms, time elapse: 50.128seconds
17:52:50: Decomposing completed, time elapse: 91.487seconds
17:53:31: Decomposing poses, time elapse: 31.988seconds
17:53:31: Calculating kernel matrix, time elapse: 0.182seconds
17:54:28: Decomposing movements and ethograms, time elapse: 57.252seconds
17:54:33: Decomposing completed, time elapse: 94.262seconds
17:55:14: Decomposing poses, time elapse: 31.683seconds
17:55:14: Calculating kernel matrix, time elapse: 0.174seconds
17:55:55: Decomposing movements and ethograms, time elapse: 40.937seconds
17:56:00: Decomposing completed, time elapse: 77.708seconds
17:56:41: Decomposing poses, time elapse: 32.884seconds
17:56:42: Calculating kernel matrix, time elapse: 0.195seconds
17:57:27: Decomposing movements and ethograms, time elapse: 45.701seconds
17:57:32: Decomposing completed, time elapse: 83.745seconds
17:58:18: Decomposing poses, time elapse: 36.629seconds
17:58:18: Calculating kernel matrix, time elapse: 0.196seconds
17:59:03: Decomposing movements and ethograms, time elapse: 45.199seconds
17:59:08: Decomposing completed, time elapse: 87.055seconds
17:59:48: Decomposing poses, time elapse: 31.134seconds
17:59:49: Calculating kernel matrix, time elapse: 0.184seconds
18:00:29: Decomposing movements and ethograms, time elapse: 40.635seconds
18:00:34: Decomposing completed, time elapse: 76.834seconds
18:01:14: Decomposing poses, time elapse: 31.116seconds
18:01:15: Calculating kernel matrix, time elapse: 0.223seconds
18:01:40: Decomposing movements and ethograms, time elapse: 25.391seconds
18:01:45: Decomposing completed, time elapse: 61.839seconds
18:02:28: Decomposing poses, time elapse: 32.184seconds
18:02:28: Calculating kernel matrix, time elapse: 0.246seconds
18:03:00: Decomposing movements and ethograms, time elapse: 31.733seconds
18:03:05: Decomposing completed, time elapse: 69.588seconds
18:03:47: Decomposing poses, time elapse: 30.219seconds
18:03:47: Calculating kernel matrix, time elapse: 0.238seconds
18:04:52: Decomposing movements and ethograms, time elapse: 64.971seconds
18:04:57: Decomposing completed, time elapse: 100.721seconds
18:05:40: Decomposing poses, time elapse: 31.601seconds
18:05:40: Calculating kernel matrix, time elapse: 0.23seconds
18:06:07: Decomposing movements and ethograms, time elapse: 27.214seconds
18:06:13: Decomposing completed, time elapse: 64.44seconds
18:06:53: Decomposing poses, time elapse: 30.267seconds
18:06:54: Calculating kernel matrix, time elapse: 0.198seconds
18:07:43: Decomposing movements and ethograms, time elapse: 49.364seconds
18:07:48: Decomposing completed, time elapse: 84.847seconds
18:08:28: Decomposing poses, time elapse: 30.796seconds
18:08:28: Calculating kernel matrix, time elapse: 0.241seconds
18:08:57: Decomposing movements and ethograms, time elapse: 28.334seconds
18:09:02: Decomposing completed, time elapse: 64.531seconds
